구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,범죄검거율
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,1.0,1.0,77.728285077951,85.71428571428571,76.92307692307692,42.857142857142854,86.48459383753502,536107.0,6502.0,0.9715686274509803,73.74777263710851
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4675278076785073,0.4379692527708259,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722713,469094.0,2547.0,0.25732137061391025,64.15856749935577
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.1331180480803732,0.41544511977118337,82.3529411764706,92.85714285714286,100.0,43.09623430962343,88.63722159305398,306093.0,2462.0,0.32832313252493633,88.62663044351893
강서구,0.46109510086455324,0.4705882352941176,0.41666666666666663,0.37064944384642984,0.6149445834823024,72.90076335877863,100.0,100.0,60.11450381679389,84.75210477081384,582995.0,2560.0,0.46678880603081396,84.29462217714169
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5895227843559383,0.6474794422595638,69.0625,100.0,88.88888888888889,30.561714708056172,80.10915706488781,502698.0,4942.0,0.5720684681518284,72.1249856304572
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.7043415859346969,0.40686449767608146,91.66666666666667,100.0,100.0,42.2009253139458,83.04761904761905,355306.0,2588.0,0.44099580789580084,76.90602313388283
구로구,0.515850144092219,0.588235294117647,0.5,0.4564047362755651,0.5434393993564532,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,424582.0,4075.0,0.5207859147683769,66.08192749414272
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.18083961248654468,0.20271719699678226,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,244685.0,2374.0,0.1333848093736389,80.07018139739864
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.405453893074991,0.4419020378977475,61.421319796954315,100.0,100.0,36.52530779753762,85.5306647080426,520005.0,2415.0,0.3810889745202526,77.59474601308972
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.96707431796801,87.62609280430397,322419.0,1629.0,0.06372549019607843,100.00000000000001
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.32938643702906356,0.3793350017876296,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,352259.0,2497.0,0.32678412502389126,83.24502852038636
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2877646214567635,0.15123346442617092,48.771929824561404,55.55555555555556,100.0,35.44235924932976,83.08900523560209,397231.0,2297.0,0.29033394502876525,59.62651738974861
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5353426623609616,0.5348587772613513,84.01360544217687,71.42857142857143,100.0,31.819960861056753,84.44518940663761,379984.0,2421.0,0.5305854650731318,74.06982910433831
서대문구,0.1498559077809798,0.0,0.0,0.2687477574452817,0.20343224883804079,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,317699.0,2940.0,0.12440718281286045,64.21109431106446
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5640473627556513,0.32606363961387197,63.3587786259542,66.66666666666667,75.0,41.40417457305503,87.45310546060858,422174.0,3704.0,0.49280436694279767,64.19959287565803
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.1951919626838895,0.0446907400786557,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846153,295767.0,3602.0,0.14220155044119073,77.6823079672096
성북구,0.13832853025936598,0.0,0.24999999999999997,0.2590599210620739,0.25813371469431534,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,443206.0,3958.0,0.18110443320315103,76.05125683249264
송파구,0.340057636887608,0.4705882352941176,0.75,0.780767850735558,0.6464068644976761,80.9090909090909,76.92307692307692,90.9090909090909,34.856437171966654,84.55235204855842,664341.0,2854.0,0.5975641174829919,71.54535137443713
양천구,0.051873198847262214,0.05882352941176466,0.08333333333333334,0.296734840330104,0.365391490883089,87.5,50.0,100.0,35.55555555555556,80.90872857712236,454288.0,3312.0,0.17123127856111064,65.32375186811792
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6820954431288124,0.7454415445119771,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,402375.0,3778.0,0.7967465906117314,74.15807054027403
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.17725152493720842,0.2012870933142653,89.17525773195877,100.0,100.0,37.70070648683365,83.1219512195122,240665.0,2383.0,0.2846160131908948,87.83628619518217
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.30534625044851094,0.4168752234537004,84.93975903614458,66.66666666666667,100.0,37.14733542319749,86.92046739540143,479409.0,3791.0,0.24505739304568497,71.21884250578512
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.4022246142805884,0.2881658920271719,76.30331753554502,81.81818181818181,83.33333333333333,38.324175824175825,84.21282163105103,155106.0,1772.0,0.33815721071513183,71.15356188389221
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5328310010764262,0.26349660350375403,65.29411764705883,66.66666666666667,66.66666666666667,33.712715855572995,88.30935251798562,,,0.2621840946856015,57.417375977017585
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.384642985288841,0.486235252055774,79.14438502673796,81.81818181818181,92.3076923076923,38.82903981264637,84.54513523006673,394679.0,3296.0,0.47708857056323273,79.1984958988186
